Date,House Price Index
01/01/2010,97.2
01/04/2010,100.4
01/07/2010,102
01/10/2010,104.3
01/01/2011,106.4
01/04/2011,109.2
01/07/2011,112
01/10/2011,116
01/01/2012,119.9
01/04/2012,123.9
01/07/2012,126.8
01/10/2012,132.6
01/01/2013,133.1
01/04/2013,138.1
01/07/2013,143.6
01/10/2013,145
01/01/2014,146.7
01/04/2014,152
01/07/2014,156.3
01/10/2014,157.6
01/01/2015,160.2
01/04/2015,162.8
01/07/2015,167.1
01/10/2015,167.8
01/01/2016,171.8
01/04/2016,174.4
01/07/2016,178.5
01/10/2016,179.5
01/01/2017,183.3
01/04/2017,186.3
01/07/2017,190.1
01/10/2017,190.5
01/01/2018,191.2
01/04/2018,193.1
01/07/2018,195.3
01/10/2018,195.3
01/01/2019,196
01/04/2019,197.6
01/07/2019,199.5
01/10/2019,198.8
01/01/2020,199.7
01/04/2020,200.4
01/07/2020,199.9
01/10/2020,201.2
01/01/2021,201.1
01/04/2021,202.5
01/07/2021,202
01/10/2021,205
01/01/2022,205.9
01/04/2022,207.8
01/07/2022,212.4
01/10/2022,213
01/01/2023,205.940619
01/04/2023,207.4753678
01/07/2023,209.0771401
01/10/2023,210.7461574
01/01/2024,212.3416185
01/04/2024,214.0881409
01/07/2024,215.8979836
01/10/2024,217.7510078
01/01/2025,219.8536846
01/04/2025,222.0759407
01/07/2025,224.3938972
01/10/2025,226.5065881
01/01/2026,228.7218195
01/04/2026,231.0430484
01/07/2026,233.4643942
01/10/2026,235.9960064
01/01/2027,238.6623545
01/04/2027,241.4715457
01/07/2027,244.4375556
01/10/2027,247.5603227
01/01/2028,250.8538224
01/04/2028,254.3354505
01/07/2028,258.0534322
01/10/2028,262.034107
01/01/2029,266.310999
01/04/2029,270.9251613
01/07/2029,275.9251637
01/10/2029,281.3647553
01/01/2030,287.3088315
01/04/2030,293.835254
01/07/2030,301.0395264
01/10/2030,309.0373896
